HEIGHT,PCT_TREE,NDVI_DELTA,NPP,PRECIP_ANN,TEMP_MEAN,TEMP_SDEV,PRECIP_CV,CTI,ELEV,LC_TYPE,X,Y,NCBD_30M
0,6,0.13153,2383,545,5,8060,35,237,2427,10,-115.004204986542,43.5086872347303,61
0,28,-0.20314,2948,540,5,7412,30,442,1875,1,-120.132182651249,48.842702086206,202
22,51,0.12765,3159,539,5,8339,15,359,2417,12,-110.954767509451,43.0746102308144,116
22,44,0.10533,3240,511,5,8368,13,349,2467,7,-110.874738571253,42.893593792255,129
18,25,0.03487,3803,357,5,8511,21,734,2731,1,-109.339037275577,42.672960466102,49
0,39,0.02418,3837,772,5,7162,28,122,2135,1,-115.748134912812,45.5335404643452,93
21,44,0.07955,4215,530,5,7753,30,281,2681,1,-107.322571563151,44.2530553556553,75
22,52,0.01707,4424,566,5,7332,18,139,2135,1,-114.287543675107,46.2384124818474,96
0,39,0.01614,4514,687,5,7423,28,212,2221,14,-115.589787069906,45.007066933891,46
20,60,-0.02203,4652,491,5,7788,18,412,2349,1,-114.494500833526,45.1138757565983,73
17,29,0.16814,4744,671,5,9041,23,238,2204,1,-111.238118823751,44.5606507750201,89
23,56,0.06649,5736,780,5,7522,21,339,1866,1,-114.763059973679,48.8543777291784,105
24,62,0.01852,5893,497,5,8538,22,229,2998,1,-106.438668906528,38.458206816227,137
21,61,0.09544,6123,591,5,7855,10,234,2936,1,-106.137632411432,40.371993981597,132
20,54,0.02984,6171,590,5,7764,13,366,3008,1,-106.01586737858,39.9427896738391,73
18,9,0.05808,2118,554,6,7286,25,292,2657,8,-115.304018547891,41.7535148354545,42
0,4,0.06921,2440,529,6,8128,34,348,2405,10,-114.885333426353,43.5316926678576,61
18,46,0.1575,3216,564,6,8316,16,288,2413,1,-111.297308607407,43.3316202036043,167
